Patient_ID_clean,133K02,5T4,7SK|ENSG00000232512.2,7SK|ENSG00000249352.3,7SK|ENSG00000254144.2,7SK|ENSG00000260682.2,7SK|ENSG00000271765.1,7SK|ENSG00000271814.1,7SK|ENSG00000271818.1,A-C1,A1BG-AS1,A1BG_x,A1BG_y,A1CF_x,A1CF_y,A2M-AS1,A2ML1_x,A2ML1_y,A2MP1,A2M_x,A2M_y,A3GALT2,A4GALT,A4GNT_x,A4GNT_y,AA,AAAS_x,AAAS_y,AACSP1_x,AACSP1_y,AACS_x,AACS_y,AADACL2_x,AADACL2_y,AADACL3_x,AADACL3_y,AADACL4_x,AADACL4_y,AADACP1,AADAC_x,AADAC_y,AADAT_x,AADAT_y,AAED1,AAGAB_x,AAGAB_y,AAK1,AAMDC,AAMP_x,AAMP_y
TCGA-24-1850,225.0733,872.434,2.0,-1.0,1.0,-1.0,1.0,0.0,-1.0,129.7654,114.6188,341.6202,1.0,0.0,1.0,69.6114,160.5572,1.0,1.0,3137.1334,1.0,-1.0,-1.0,0.0,1.0,1550.5865,1085.044,1.0,0.7331,1.0,726.5396,1.0,0.0,1.0,0.7331,-1.0,2.9326,-1.0,3.6657,43.2551,1.0,121.7009,-1.0,1.0,1071.1144,-1.0,1.0,-1.0,1890.0293,-1.0
TCGA-24-1924,416.042,606.072,-1.0,-2.0,-1.0,1.0,-1.0,1.0,-1.0,82.8336,109.5052,251.8441,0.0,0.0,-1.0,75.6897,25.4873,0.0,0.0,6866.5892,0.0,2.0,-1.0,0.3748,1.0,1555.0975,1023.6132,0.0,0.7496,-1.0,941.5292,-1.0,0.0,1.0,1.4993,-1.0,0.0,-1.0,19.4903,128.9355,1.0,90.7046,-1.0,-1.0,811.8441,-1.0,1.0,1.0,3533.3583,1.0
TCGA-24-1928,284.1383,888.1932,1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0,47.4061,227.904,247.746,1.0,0.0,-1.0,84.4067,46.2135,1.0,1.0,7273.6732,1.0,1.0,-1.0,0.5963,1.0,2755.2177,1141.3238,1.0,0.2982,-1.0,1440.966,1.0,0.0,1.0,2.3852,1.0,1.7889,1.0,2.0871,9.2427,1.0,63.5063,-1.0,-1.0,1020.2743,-1.0,1.0,-1.0,2084.9732,1.0
TCGA-24-1930,375.1809,1075.7503,-1.0,-1.0,0.0,-1.0,0.0,-1.0,1.0,137.4119,50.8193,73.7238,-2.0,0.0,0.0,91.4716,1.9299,1.0,1.0,9381.461,1.0,1.0,-1.0,2.7019,1.0,3156.6149,1317.7651,1.0,0.0,1.0,437.3251,-1.0,0.386,1.0,2.7019,-1.0,0.0,-1.0,111.9367,269.4201,1.0,49.4065,-1.0,-1.0,980.0251,0.0,-1.0,0.0,1608.8005,-1.0
TCGA-24-2019,238.7552,96.2801,1.0,-1.0,1.0,-1.0,-1.0,0.0,-1.0,41.5755,38.1084,102.5261,-1.0,0.0,-1.0,154.1503,137.3693,1.0,1.0,6042.7863,1.0,0.0,-1.0,0.9725,1.0,2537.5638,1339.8979,1.0,0.0,-1.0,1435.4486,1.0,0.9725,1.0,0.2431,0.0,0.0,0.0,25.7719,48.8694,1.0,86.798,0.0,-1.0,916.849,-1.0,1.0,-1.0,1904.4493,-1.0
TCGA-24-2020,214.2384,92.3841,-1.0,-1.0,1.0,-1.0,-1.0,0.0,-1.0,169.2053,27.606,148.606,1.0,2.9801,-1.0,70.1987,0.6623,1.0,1.0,2440.7285,1.0,0.0,-1.0,0.9934,1.0,650.3311,1498.3444,1.0,56.6225,-1.0,1218.8742,1.0,0.9934,2.0,0.0,-1.0,0.0,-1.0,18.8742,35.4305,2.0,175.8278,-1.0,1.0,1156.2914,-1.0,-1.0,0.0,2577.8146,-1.0
TCGA-24-2023,302.0774,1461.4727,-1.0,0.0,2.0,-1.0,-1.0,2.0,-1.0,49.2446,63.4495,177.9513,0.0,0.0,0.0,46.1246,4.627,0.0,0.0,4550.4748,0.0,0.0,0.0,0.3305,0.0,2218.3186,741.9734,-1.0,0.0,0.0,384.0415,-1.0,0.0,0.0,0.3305,0.0,0.0,0.0,3.305,20.491,0.0,31.3975,2.0,-1.0,1387.7712,0.0,2.0,0.0,5768.8844,2.0
TCGA-24-2024,323.7207,1656.4485,0.0,-1.0,0.0,-1.0,0.0,-1.0,-1.0,39.8829,24.6371,39.6703,-1.0,0.0,0.0,281.0839,9.6068,2.0,2.0,8318.1837,2.0,-1.0,0.0,5.8223,0.0,1701.8626,1461.9832,0.0,308.8738,0.0,680.9197,0.0,0.0,0.0,1.1645,-1.0,0.5822,-1.0,76.2723,95.1948,0.0,159.5314,0.0,-1.0,808.4284,0.0,0.0,0.0,2491.9507,0.0
TCGA-24-2026,304.3439,1070.3246,-1.0,-1.0,0.0,-1.0,0.0,0.0,-1.0,162.4143,82.1948,90.7179,-1.0,0.0,-1.0,53.5784,351.5318,0.0,0.0,4332.3384,0.0,1.0,-1.0,0.0,1.0,2698.1253,1043.6214,-1.0,9.5107,-1.0,612.7115,-1.0,1.829,1.0,0.3658,2.0,1.4632,2.0,179.9726,136.0768,1.0,117.7869,1.0,-1.0,617.1011,-1.0,0.0,1.0,2590.5807,0.0
TCGA-24-2027,282.867,790.4731,0.0,-1.0,0.0,-1.0,0.0,-1.0,-1.0,105.4415,58.2395,84.4816,0.0,0.0,0.0,92.1903,70.9702,0.0,0.0,2280.5808,0.0,-1.0,-1.0,1.6898,1.0,2075.0341,1465.7041,0.0,16.5597,-1.0,964.1812,-1.0,0.338,0.0,1.0139,0.0,0.0,0.0,6.7591,4.3934,0.0,171.3424,-1.0,0.0,780.3345,-1.0,0.0,2.0,1232.8541,-1.0
